#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2026-04-15, 15:58:25
# Real time (s): 907.040
# Live time (s): 900.000
#
# Total counts:  84553
#
# Left marker:  1745 (656.430 keV)
# Right marker: 1779 (669.055 keV)
# Counts:       2529
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 8.481379
#     A1: 0.371317
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
247	100.197	49	0.0544444
248	100.568	53	0.0588889
249	100.939	56	0.0622222
250	101.311	65	0.0722222
251	101.682	59	0.0655556
252	102.053	55	0.0611111
253	102.425	51	0.0566667
254	102.796	59	0.0655556
255	103.167	59	0.0655556
256	103.539	65	0.0722222
257	103.910	50	0.0555556
258	104.281	52	0.0577778
259	104.653	49	0.0544444
260	105.024	52	0.0577778
261	105.395	63	0.07
262	105.767	54	0.06
263	106.138	68	0.0755556
264	106.509	52	0.0577778
265	106.880	66	0.0733333
266	107.252	66	0.0733333
267	107.623	60	0.0666667
268	107.994	59	0.0655556
269	108.366	60	0.0666667
270	108.737	52	0.0577778
271	109.108	59	0.0655556
272	109.480	57	0.0633333
273	109.851	54	0.06
274	110.222	62	0.0688889
275	110.594	57	0.0633333
276	110.965	63	0.07
277	111.336	38	0.0422222
278	111.708	48	0.0533333
279	112.079	45	0.05
280	112.450	58	0.0644444
281	112.822	67	0.0744444
282	113.193	66	0.0733333
283	113.564	59	0.0655556
284	113.936	63	0.07
285	114.307	62	0.0688889
286	114.678	44	0.0488889
287	115.049	55	0.0611111
288	115.421	71	0.0788889
289	115.792	50	0.0555556
290	116.163	49	0.0544444
291	116.535	59	0.0655556
292	116.906	71	0.0788889
293	117.277	61	0.0677778
294	117.649	54	0.06
295	118.020	55	0.0611111
296	118.391	75	0.0833333
297	118.763	58	0.0644444
298	119.134	48	0.0533333
299	119.505	60	0.0666667
300	119.877	60	0.0666667
301	120.248	68	0.0755556
302	120.619	75	0.0833333
303	120.991	63	0.07
304	121.362	61	0.0677778
305	121.733	49	0.0544444
306	122.104	60	0.0666667
307	122.476	70	0.0777778
308	122.847	56	0.0622222
309	123.218	60	0.0666667
310	123.590	57	0.0633333
311	123.961	70	0.0777778
312	124.332	67	0.0744444
313	124.704	59	0.0655556
314	125.075	55	0.0611111
315	125.446	58	0.0644444
316	125.818	61	0.0677778
317	126.189	61	0.0677778
318	126.560	52	0.0577778
319	126.932	54	0.06
320	127.303	77	0.0855556
321	127.674	62	0.0688889
322	128.046	62	0.0688889
323	128.417	52	0.0577778
324	128.788	58	0.0644444
325	129.160	54	0.06
326	129.531	62	0.0688889
327	129.902	57	0.0633333
328	130.273	48	0.0533333
329	130.645	69	0.0766667
330	131.016	64	0.0711111
331	131.387	58	0.0644444
332	131.759	54	0.06
333	132.130	67	0.0744444
334	132.501	51	0.0566667
335	132.873	64	0.0711111
336	133.244	51	0.0566667
337	133.615	40	0.0444444
338	133.987	67	0.0744444
339	134.358	69	0.0766667
340	134.729	60	0.0666667
341	135.101	66	0.0733333
342	135.472	58	0.0644444
343	135.843	60	0.0666667
344	136.215	54	0.06
345	136.586	75	0.0833333
346	136.957	58	0.0644444
347	137.329	49	0.0544444
348	137.700	73	0.0811111
349	138.071	60	0.0666667
350	138.442	62	0.0688889
351	138.814	52	0.0577778
352	139.185	54	0.06
353	139.556	58	0.0644444
354	139.928	70	0.0777778
355	140.299	51	0.0566667
356	140.670	66	0.0733333
357	141.042	58	0.0644444
358	141.413	63	0.07
359	141.784	58	0.0644444
360	142.156	50	0.0555556
361	142.527	56	0.0622222
362	142.898	56	0.0622222
363	143.270	58	0.0644444
364	143.641	62	0.0688889
365	144.012	51	0.0566667
366	144.384	56	0.0622222
367	144.755	62	0.0688889
368	145.126	62	0.0688889
369	145.497	76	0.0844444
370	145.869	61	0.0677778
371	146.240	61	0.0677778
372	146.611	47	0.0522222
373	146.983	56	0.0622222
374	147.354	55	0.0611111
375	147.725	49	0.0544444
376	148.097	69	0.0766667
377	148.468	62	0.0688889
378	148.839	51	0.0566667
379	149.211	61	0.0677778
380	149.582	59	0.0655556
381	149.953	56	0.0622222
382	150.325	63	0.07
383	150.696	49	0.0544444
384	151.067	54	0.06
385	151.439	62	0.0688889
386	151.810	69	0.0766667
387	152.181	69	0.0766667
388	152.553	57	0.0633333
389	152.924	55	0.0611111
390	153.295	50	0.0555556
391	153.666	43	0.0477778
392	154.038	47	0.0522222
393	154.409	45	0.05
394	154.780	46	0.0511111
395	155.152	59	0.0655556
396	155.523	50	0.0555556
397	155.894	58	0.0644444
398	156.266	59	0.0655556
399	156.637	56	0.0622222
400	157.008	47	0.0522222
401	157.380	64	0.0711111
402	157.751	51	0.0566667
403	158.122	52	0.0577778
404	158.494	57	0.0633333
405	158.865	43	0.0477778
406	159.236	66	0.0733333
407	159.608	52	0.0577778
408	159.979	52	0.0577778
409	160.350	51	0.0566667
410	160.722	63	0.07
411	161.093	57	0.0633333
412	161.464	59	0.0655556
413	161.835	60	0.0666667
414	162.207	52	0.0577778
415	162.578	54	0.06
416	162.949	46	0.0511111
417	163.321	50	0.0555556
418	163.692	53	0.0588889
419	164.063	47	0.0522222
420	164.435	49	0.0544444
421	164.806	58	0.0644444
422	165.177	61	0.0677778
423	165.549	50	0.0555556
424	165.920	65	0.0722222
425	166.291	47	0.0522222
426	166.663	50	0.0555556
427	167.034	61	0.0677778
428	167.405	56	0.0622222
429	167.777	39	0.0433333
430	168.148	60	0.0666667
431	168.519	52	0.0577778
432	168.890	53	0.0588889
433	169.262	56	0.0622222
434	169.633	48	0.0533333
435	170.004	56	0.0622222
436	170.376	61	0.0677778
437	170.747	57	0.0633333
438	171.118	54	0.06
439	171.490	64	0.0711111
440	171.861	42	0.0466667
441	172.232	59	0.0655556
442	172.604	47	0.0522222
443	172.975	55	0.0611111
444	173.346	55	0.0611111
445	173.718	51	0.0566667
446	174.089	53	0.0588889
447	174.460	54	0.06
448	174.832	44	0.0488889
449	175.203	46	0.0511111
450	175.574	40	0.0444444
451	175.946	51	0.0566667
452	176.317	35	0.0388889
453	176.688	49	0.0544444
454	177.059	60	0.0666667
455	177.431	45	0.05
456	177.802	68	0.0755556
457	178.173	61	0.0677778
458	178.545	55	0.0611111
459	178.916	49	0.0544444
460	179.287	54	0.06
461	179.659	53	0.0588889
462	180.030	53	0.0588889
463	180.401	47	0.0522222
464	180.773	51	0.0566667
465	181.144	69	0.0766667
466	181.515	45	0.05
467	181.887	64	0.0711111
468	182.258	44	0.0488889
469	182.629	47	0.0522222
470	183.001	54	0.06
471	183.372	55	0.0611111
472	183.743	38	0.0422222
473	184.115	53	0.0588889
474	184.486	42	0.0466667
475	184.857	50	0.0555556
476	185.228	56	0.0622222
477	185.600	53	0.0588889
478	185.971	46	0.0511111
479	186.342	56	0.0622222
480	186.714	52	0.0577778
481	187.085	38	0.0422222
482	187.456	61	0.0677778
483	187.828	66	0.0733333
484	188.199	42	0.0466667
485	188.570	53	0.0588889
486	188.942	50	0.0555556
487	189.313	65	0.0722222
488	189.684	50	0.0555556
489	190.056	66	0.0733333
490	190.427	55	0.0611111
491	190.798	51	0.0566667
492	191.170	52	0.0577778
493	191.541	55	0.0611111
494	191.912	42	0.0466667
495	192.283	37	0.0411111
496	192.655	65	0.0722222
497	193.026	39	0.0433333
498	193.397	46	0.0511111
499	193.769	59	0.0655556
500	194.140	58	0.0644444
501	194.511	46	0.0511111
502	194.883	59	0.0655556
503	195.254	54	0.06
504	195.625	59	0.0655556
505	195.997	42	0.0466667
506	196.368	46	0.0511111
507	196.739	50	0.0555556
508	197.111	61	0.0677778
509	197.482	53	0.0588889
510	197.853	52	0.0577778
511	198.225	49	0.0544444
512	198.596	53	0.0588889
513	198.967	55	0.0611111
514	199.339	47	0.0522222
515	199.710	57	0.0633333
516	200.081	57	0.0633333
517	200.452	50	0.0555556
518	200.824	59	0.0655556
519	201.195	49	0.0544444
520	201.566	54	0.06
521	201.938	56	0.0622222
522	202.309	43	0.0477778
523	202.680	38	0.0422222
524	203.052	58	0.0644444
525	203.423	54	0.06
526	203.794	42	0.0466667
527	204.166	50	0.0555556
528	204.537	64	0.0711111
529	204.908	51	0.0566667
530	205.280	41	0.0455556
531	205.651	64	0.0711111
532	206.022	54	0.06
533	206.394	59	0.0655556
534	206.765	57	0.0633333
535	207.136	50	0.0555556
536	207.507	58	0.0644444
537	207.879	48	0.0533333
538	208.250	53	0.0588889
539	208.621	55	0.0611111
540	208.993	45	0.05
541	209.364	56	0.0622222
542	209.735	56	0.0622222
543	210.107	48	0.0533333
544	210.478	61	0.0677778
545	210.849	46	0.0511111
546	211.221	47	0.0522222
547	211.592	52	0.0577778
548	211.963	41	0.0455556
549	212.335	58	0.0644444
550	212.706	65	0.0722222
551	213.077	52	0.0577778
552	213.449	55	0.0611111
553	213.820	57	0.0633333
554	214.191	54	0.06
555	214.563	43	0.0477778
556	214.934	54	0.06
557	215.305	50	0.0555556
558	215.676	45	0.05
559	216.048	47	0.0522222
560	216.419	70	0.0777778
561	216.790	53	0.0588889
562	217.162	67	0.0744444
563	217.533	48	0.0533333
564	217.904	50	0.0555556
565	218.276	37	0.0411111
566	218.647	46	0.0511111
567	219.018	50	0.0555556
568	219.390	47	0.0522222
569	219.761	59	0.0655556
570	220.132	45	0.05
571	220.504	51	0.0566667
572	220.875	54	0.06
573	221.246	56	0.0622222
574	221.618	48	0.0533333
575	221.989	71	0.0788889
576	222.360	49	0.0544444
577	222.732	57	0.0633333
578	223.103	58	0.0644444
579	223.474	59	0.0655556
580	223.845	59	0.0655556
581	224.217	46	0.0511111
582	224.588	52	0.0577778
583	224.959	53	0.0588889
584	225.331	49	0.0544444
585	225.702	57	0.0633333
586	226.073	55	0.0611111
587	226.445	51	0.0566667
588	226.816	55	0.0611111
589	227.187	36	0.04
590	227.559	66	0.0733333
591	227.930	45	0.05
592	228.301	48	0.0533333
593	228.673	45	0.05
594	229.044	48	0.0533333
595	229.415	42	0.0466667
596	229.787	46	0.0511111
597	230.158	34	0.0377778
598	230.529	54	0.06
599	230.900	47	0.0522222
600	231.272	47	0.0522222
601	231.643	56	0.0622222
602	232.014	47	0.0522222
603	232.386	54	0.06
604	232.757	40	0.0444444
605	233.128	59	0.0655556
606	233.500	53	0.0588889
607	233.871	51	0.0566667
608	234.242	61	0.0677778
609	234.614	48	0.0533333
610	234.985	45	0.05
611	235.356	46	0.0511111
612	235.728	62	0.0688889
613	236.099	50	0.0555556
614	236.470	40	0.0444444
615	236.842	50	0.0555556
616	237.213	46	0.0511111
617	237.584	48	0.0533333
618	237.956	52	0.0577778
619	238.327	39	0.0433333
620	238.698	46	0.0511111
621	239.069	45	0.05
622	239.441	45	0.05
623	239.812	49	0.0544444
624	240.183	52	0.0577778
625	240.555	54	0.06
626	240.926	64	0.0711111
627	241.297	70	0.0777778
628	241.669	65	0.0722222
629	242.040	59	0.0655556
630	242.411	40	0.0444444
631	242.783	51	0.0566667
632	243.154	42	0.0466667
633	243.525	52	0.0577778
634	243.897	43	0.0477778
635	244.268	54	0.06
636	244.639	44	0.0488889
637	245.011	43	0.0477778
638	245.382	45	0.05
639	245.753	48	0.0533333
640	246.125	49	0.0544444
641	246.496	53	0.0588889
642	246.867	41	0.0455556
643	247.238	64	0.0711111
644	247.610	43	0.0477778
645	247.981	42	0.0466667
646	248.352	41	0.0455556
647	248.724	39	0.0433333
648	249.095	48	0.0533333
649	249.466	46	0.0511111
650	249.838	36	0.04
651	250.209	44	0.0488889
652	250.580	39	0.0433333
653	250.952	48	0.0533333
654	251.323	48	0.0533333
655	251.694	46	0.0511111
656	252.066	38	0.0422222
657	252.437	45	0.05
658	252.808	41	0.0455556
659	253.180	33	0.0366667
660	253.551	37	0.0411111
661	253.922	56	0.0622222
662	254.293	32	0.0355556
663	254.665	47	0.0522222
664	255.036	37	0.0411111
665	255.407	41	0.0455556
666	255.779	53	0.0588889
667	256.150	45	0.05
668	256.521	48	0.0533333
669	256.893	41	0.0455556
670	257.264	38	0.0422222
671	257.635	32	0.0355556
672	258.007	38	0.0422222
673	258.378	37	0.0411111
674	258.749	42	0.0466667
675	259.121	45	0.05
676	259.492	34	0.0377778
