#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2026-04-15, 10:31:16
# Real time (s): 6165.170
# Live time (s): 6000.000
#
# Total counts:  578519
#
# Left marker:  1745 (656.430 keV)
# Right marker: 1779 (669.055 keV)
# Counts:       3052
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 8.481379
#     A1: 0.371317
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
249	100.939	381	0.0635
250	101.311	374	0.0623333
251	101.682	372	0.062
252	102.053	366	0.061
253	102.425	388	0.0646667
254	102.796	360	0.06
255	103.167	363	0.0605
256	103.539	371	0.0618333
257	103.910	367	0.0611667
258	104.281	335	0.0558333
259	104.653	377	0.0628333
260	105.024	350	0.0583333
261	105.395	369	0.0615
262	105.767	377	0.0628333
263	106.138	346	0.0576667
264	106.509	361	0.0601667
265	106.880	340	0.0566667
266	107.252	367	0.0611667
267	107.623	319	0.0531667
268	107.994	355	0.0591667
269	108.366	376	0.0626667
270	108.737	322	0.0536667
271	109.108	378	0.063
272	109.480	348	0.058
273	109.851	342	0.057
274	110.222	371	0.0618333
275	110.594	403	0.0671667
276	110.965	370	0.0616667
277	111.336	309	0.0515
278	111.708	354	0.059
279	112.079	336	0.056
280	112.450	369	0.0615
281	112.822	356	0.0593333
282	113.193	361	0.0601667
283	113.564	360	0.06
284	113.936	344	0.0573333
285	114.307	326	0.0543333
286	114.678	372	0.062
287	115.049	328	0.0546667
288	115.421	355	0.0591667
289	115.792	349	0.0581667
290	116.163	368	0.0613333
291	116.535	349	0.0581667
292	116.906	359	0.0598333
293	117.277	377	0.0628333
294	117.649	363	0.0605
295	118.020	404	0.0673333
296	118.391	354	0.059
297	118.763	352	0.0586667
298	119.134	389	0.0648333
299	119.505	326	0.0543333
300	119.877	394	0.0656667
301	120.248	388	0.0646667
302	120.619	360	0.06
303	120.991	385	0.0641667
304	121.362	365	0.0608333
305	121.733	332	0.0553333
306	122.104	357	0.0595
307	122.476	364	0.0606667
308	122.847	346	0.0576667
309	123.218	376	0.0626667
310	123.590	359	0.0598333
311	123.961	389	0.0648333
312	124.332	357	0.0595
313	124.704	389	0.0648333
314	125.075	345	0.0575
315	125.446	369	0.0615
316	125.818	357	0.0595
317	126.189	337	0.0561667
318	126.560	376	0.0626667
319	126.932	396	0.066
320	127.303	359	0.0598333
321	127.674	375	0.0625
322	128.046	388	0.0646667
323	128.417	367	0.0611667
324	128.788	344	0.0573333
325	129.160	384	0.064
326	129.531	344	0.0573333
327	129.902	400	0.0666667
328	130.273	357	0.0595
329	130.645	414	0.069
